area,query,store_name,phone,address,map_link,place_id,notes
노원/수유/도봉,방학역 전자담배,몬스터24시,0507-1395-5213,서울 도봉구 도봉로150마길 34 지상1층 161호,https://pcmap.place.naver.com/place/2082004100/home,2082004100,네이버 플레이스 검색 스니펫 기준 신규 확보 (방학역 전자담배)
노원/수유/도봉,수유역 전자담배,수유 전자담배 그레이 광산점,0507-1430-2827,서울 강북구 한천로 1096 1층,https://pcmap.place.naver.com/place/1033834276/home,1033834276,네이버 플레이스 검색 스니펫 기준 신규 확보 (수유역 전자담배)
노원/수유/도봉,수유역 전자담배,수유 전자담배 어썸리퀴드,0507-1409-0901,서울 강북구 도봉로 290 푸르지오시티 1층 112호 어썸리퀴드,https://pcmap.place.naver.com/place/36652279/home,36652279,네이버 플레이스 검색 스니펫 기준 신규 확보 (수유역 전자담배)
노원/수유/도봉,쌍문역 전자담배,베이핑스타,0507-1442-0177,서울 도봉구 도봉로 441 101호,https://pcmap.place.naver.com/place/1337662834/home,1337662834,네이버 플레이스 검색 스니펫 기준 신규 확보 (쌍문역 전자담배)
노원/수유/도봉,창동역 전자담배,위베이프 제이스전자담배 방학점,0507-1423-3898,서울 도봉구 도봉로145길 39 1층,https://pcmap.place.naver.com/place/37657840/home,37657840,네이버 플레이스 검색 스니펫 기준 신규 확보 (창동역 전자담배)
사당/방배/목동,목동역 전자담배,마샤전자담배 목동점,0507-1423-1701,"서울 양천구 목동동로 233-1 지하1층 137,142호",https://pcmap.place.naver.com/place/35965205/home,35965205,네이버 플레이스 검색 스니펫 기준 신규 확보 (목동역 전자담배)
사당/방배/목동,목동역 전자담배,베이프갱스터 목동점,0507-1358-0754,서울 양천구 목동로 163 이스타팰리스 1층 106호,https://pcmap.place.naver.com/place/1454748649/home,1454748649,네이버 플레이스 검색 스니펫 기준 신규 확보 (목동역 전자담배)
사당/방배/목동,목동역 전자담배,전자담BAAM,0507-1417-5635,서울 양천구 목동로23길 12 1층 103호,https://pcmap.place.naver.com/place/1723561269/home,1723561269,네이버 플레이스 검색 스니펫 기준 신규 확보 (목동역 전자담배)
사당/방배/목동,사당역 전자담배,룰루전자담배 사당점,0507-1390-2440,서울 서초구 과천대로 946 1층 8호,https://pcmap.place.naver.com/place/1539043547/home,1539043547,네이버 플레이스 검색 스니펫 기준 신규 확보 (사당역 전자담배)
사당/방배/목동,사당역 전자담배,베이프업 사당점,0507-1389-3158,서울 동작구 동작대로7길 65 1층 베이프업 사당점,https://pcmap.place.naver.com/place/1085732842/home,1085732842,네이버 플레이스 검색 스니펫 기준 신규 확보 (사당역 전자담배)
사당/방배/목동,오목교역 전자담배,솜씨,0507-1341-7880,서울 양천구 목동동로 87,https://pcmap.place.naver.com/place/1122760557/home,1122760557,네이버 플레이스 검색 스니펫 기준 신규 확보 (오목교역 전자담배)
은평/연신내,불광역 전자담배,은평전자담배,0507-1412-2378,서울 은평구 통일로 738-2 1층 은평전자담배,https://pcmap.place.naver.com/place/1503538835/home,1503538835,네이버 플레이스 검색 스니펫 기준 신규 확보 (불광역 전자담배)
은평/연신내,연신내역 전자담배,고릴라파이프 연신내점,0507-1426-2011,서울 은평구 연서로29길 17 1층 고릴라파이프,https://pcmap.place.naver.com/place/1496676790/home,1496676790,네이버 플레이스 검색 스니펫 기준 신규 확보 (연신내역 전자담배)
은평/연신내,연신내역 전자담배,베이프247 연신내점,0507-1482-3530,서울 은평구 통일로 863-20 2층,https://pcmap.place.naver.com/place/1106565455/home,1106565455,네이버 플레이스 검색 스니펫 기준 신규 확보 (연신내역 전자담배)
은평/연신내,연신내역 전자담배,아이유니 전자담배24 연신내점,0507-1341-8604,서울 은평구 연서로29길 10 1층,https://pcmap.place.naver.com/place/1311141314/home,1311141314,네이버 플레이스 검색 스니펫 기준 신규 확보 (연신내역 전자담배)
은평/연신내,응암역 전자담배,전자담배,0507-1351-2950,서울 은평구 증산로 467 1층,https://pcmap.place.naver.com/place/1414281894/home,1414281894,네이버 플레이스 검색 스니펫 기준 신규 확보 (응암역 전자담배)
중랑/면목,면목역 전자담배,베이프엔젤 전자담배,0507-1307-3318,서울 중랑구 용마산로 377 B동 1층 1호 베이프엔젤 전자담배,https://pcmap.place.naver.com/place/1727204984/home,1727204984,네이버 플레이스 검색 스니펫 기준 신규 확보 (면목역 전자담배)
중랑/면목,면목역 전자담배,위베이프 면목점,0507-1327-7523,서울 중랑구 면목로 391 1층,https://pcmap.place.naver.com/place/1184634347/home,1184634347,네이버 플레이스 검색 스니펫 기준 신규 확보 (면목역 전자담배)
중랑/면목,중화역 전자담배,아이지에이마트 중화역점,0507-1378-0271,서울 중랑구 봉화산로 53 1층,https://pcmap.place.naver.com/place/1332073922/home,1332073922,네이버 플레이스 검색 스니펫 기준 신규 확보 (중화역 전자담배)
중랑/면목,중화역 전자담배,전자담배멀티샵,0507-1301-4851,서울 중랑구 중랑역로 69 1층 전자담배멀티샵,https://pcmap.place.naver.com/place/36411114/home,36411114,네이버 플레이스 검색 스니펫 기준 신규 확보 (중화역 전자담배)
천호/강동,고덕역 전자담배,시가케이,0507-1378-0717,서울 강동구 고덕로 385 그라시움4상가 213호,https://pcmap.place.naver.com/place/1968375902/home,1968375902,네이버 플레이스 검색 스니펫 기준 신규 확보 (고덕역 전자담배)
천호/강동,길동역 전자담배,HJ전자담배,0507-1381-0544,서울 강동구 양재대로 1482 1층,https://pcmap.place.naver.com/place/1995477190/home,1995477190,네이버 플레이스 검색 스니펫 기준 신규 확보 (길동역 전자담배)
천호/강동,길동역 전자담배,쿨베이핑전자담배 길동점,0507-1481-0852,서울 강동구 양재대로 1465 1층,https://pcmap.place.naver.com/place/1767835836/home,1767835836,네이버 플레이스 검색 스니펫 기준 신규 확보 (길동역 전자담배)
천호/강동,둔촌동역 전자담배,파스타바코 강동점,0507-1400-3010,서울 강동구 강동대로 245 1층 106호 PAS,https://pcmap.place.naver.com/place/36624355/home,36624355,네이버 플레이스 검색 스니펫 기준 신규 확보 (둔촌동역 전자담배)
천호/강동,암사역 전자담배,쿨베이핑전자담배 천호점,0507-1403-0553,서울 강동구 올림픽로 660 1층 109호,https://pcmap.place.naver.com/place/1095258315/home,1095258315,네이버 플레이스 검색 스니펫 기준 신규 확보 (암사역 전자담배)
천호/강동,천호역 전자담배,오지구 전자담배 천호점,0507-1441-7545,서울 강동구 천호대로 1027 1층,https://pcmap.place.naver.com/place/1007949966/home,1007949966,네이버 플레이스 검색 스니펫 기준 신규 확보 (천호역 전자담배)
