area,store_name,phone,address,map_link,notes
동대문/청량리,청량리 전자담배,0507-1308-6196,,,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
동대문/청량리,청량리 전자담배,0507-1365-3345,,https://pcmap.place.naver.com/place/1242383053/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁 (주소 확인 필요)
,너구리전자담배,010-3720-8522,경기도 시흥시 서울대학로278번길 25-32 (배곧동) 다인로얄팰리스배곧2차 1층 105호,,brand locator
압구정/청담,킹콩전자담배블랙 가로수길,010-7636-2044,서울 강남구 가로수길 22 2층,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공개 웹 검색 기반 초안
강남/압구정,킹콩전자담배블랙,0507-1357-2044,서울 강남구 가로수길 22 2층 킹콩전자담배블랙,https://pcmap.place.naver.com/place/1152293001/home,역명 키워드 확장 재시도 배치 batch2 신규 후보
,더베이프샵 다미양재점,010-6751-5262,서울 강남구 강남대로 240,,
서초/양재,더베이프샵 다미 양재점,0507-1422-5262,서울 강남구 강남대로 240 양재SK허브프리모 B102호,https://pcmap.place.naver.com/place/1621734415/home,네이버 검색 롱테일 round2 2026-04-10 · query=양재역 전자담배
강남역,킹콩전자담배 강남역점,010-5127-1225,서울 강남구 강남대로 390 미진프라자 지하1층,,공개 웹 검색 기반 초안. 전화 확인 필요
강남역,킹콩전자담배 강남역점,0507-1399-7735,서울 강남구 강남대로 390 미진프라자 지하1층,,session2 naver discovery
,베이프스트릿,010-2871-4015,서울 강남구 강남대로 438,,
강남역,베이프스트릿 강남점,010-3389-5115,서울 강남구 강남대로 438 2층 212호,,공개 웹 검색 기반 초안. 전화 확인 필요; 동일 연락처 중복 병합: 베이프스트릿 신사점 | 서울 강남구 압구정로20길 15 103-2호
강남구,베이프스트릿,0507-1451-4019,서울 강남구 강남대로 438 스타플렉스 2층 212호,,session2 naver discovery
,베어베이프,010-3436-4578,서울 강남구 강남대로118길 34 101호 베어베이프,,be-well.co.kr 비웰 스토어로케이터 KBoard ID:363. 2026-04-14 bewell_extended 신규. brand:데이드림.
신논현/논현,베어베이프전자담배,0507-1339-5262,서울 강남구 강남대로118길 34 1층 베어베이프,,네이버 플레이스 검증 2026-04-12 · query=신논현역 전자담배
신논현/논현,전담플레이 신논현점,0507-1395-3788,서울 강남구 강남대로122길 10 1층 102호,,네이버 플레이스 검증 2026-04-12 · query=신논현역 전자담배
서초/양재,베이프픽,0507-1359-5827,서울 강남구 강남대로58길 27 1층,https://pcmap.place.naver.com/place/1097887160/home,네이버 검색 롱테일 round2 2026-04-10 · query=양재역 전자담배
강남역,큐브전자담배,010-9296-3638,서울 강남구 강남대로66길 14 와이즈플레이스 1층,,공개 웹 검색 기반 초안. 전화 확인 필요
,맥스베이프,010-3044-4682,서울 강남구 강남대로84길 15 1층 106호 맥스베이프,,be-well.co.kr 비웰 스토어로케이터 KBoard ID:370. 2026-04-14 bewell_extended 신규. brand:데이드림.
강남역,증기샵,010-4922-9212,서울 강남구 강남대로84길 15 효성해링턴타워 2층 208호 증기샵,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
강남역,강남역전자담배프라자,010-4933-1901,서울 강남구 강남대로84길 23 2층 207-2호,,공개 웹 검색 기반 초안. 전화 확인 필요
강남역,에어릭스전자담배 강남역점,0507-1418-1549,서울 강남구 강남대로96길 9 에어릭스전자담배,https://pcmap.place.naver.com/place/2072973821/home,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=강남역 전자담배
역삼/선릉,쿨베이핑 개포점,010-9249-3007,서울 강남구 개포동,,공개 웹 검색 기반 초안
서초/양재,쿨베이핑전자담배 개포점,0507-1401-2700,서울 강남구 개포로 238,https://pcmap.place.naver.com/place/294254628/home,네이버 지도 검색 기반 신규 추가 2026-04-10 저녁
,스위치전자담배 대치점,010-2157-3366,서울 강남구 남부순환로 2942,http://place.map.kakao.com/882368129,p4/26
신논현/논현,도깨비전자담배 강남구청점,010-5149-8765,서울 강남구 논현동,,공개 웹 검색 기반 초안
신논현/논현,지포앤퍼프 논현,010-9166-5953,서울 강남구 논현동,,공개 웹 검색 기반 초안
신논현/논현,카우베이프 논현,010-2581-3799,서울 강남구 논현로 507,,공개 웹 검색 기반 초안; 동일 연락처 중복 병합: 엔드퍼프 역삼점 |
신논현/논현,하카 강남 학동역직영점,0507-1340-2161,서울 강남구 논현로 648 1층 101호,https://pcmap.place.naver.com/place/1374572765/home,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배
,드미크로팟캐스트스튜디오,010-8549-0609,서울 강남구 논현로10길 30,http://place.map.kakao.com/755443277,query: 서울 강남구 pod
역삼/선릉,강남 스타베이프,0507-1404-9970,서울 강남구 논현로38길 26 광희빌딩 2층,https://pcmap.place.naver.com/place/37687647/home,"merge_v2 dense_core; core_adjacent, 역삼/도곡 남단 확장"
역삼/선릉,강남전자담배프라자 대치점,010-6229-6662,서울 강남구 대치동,,공개 웹 검색 기반 초안
서초/양재,하카 강남 도곡동직영점,0507-1399-2161,서울 강남구 도곡로 170 1층,https://pcmap.place.naver.com/place/1509350242/home,네이버 검색 롱테일 round2 2026-04-10 · query=양재역 전자담배
,영웨이브 전자담배 대치점,010-3914-2254,서울 강남구 도곡로 423,http://place.map.kakao.com/1509002880,q:삼성역 전자담배
압구정/청담,카우베이프(신사점),010-2463-2382,서울 강남구 도산대로 111 S-TOWER 지하1층 카우베이프,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09
압구정/청담,하카 강남 압구정로데오직영점,0507-1465-2161,서울 강남구 도산대로 335 1층,https://pcmap.place.naver.com/place/1155039686/home,네이버 검색 롱테일 round2 2026-04-10 · query=압구정역 전자담배
압구정/청담,지직스베이프 청담동점,010-5360-4480,서울 강남구 도산대로 415 1층,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/436/,공개 웹 검색 기반 초안
강남/압구정,지직스베이프,0507-1387-4480,서울 강남구 도산대로 415 1층 지직스베이프,https://pcmap.place.naver.com/place/1343799446/home,역명 키워드 확장 재시도 배치 batch2 신규 후보
압구정/청담,블러,0507-1363-7719,서울 강남구 도산대로1길 26-3 지하1층,https://pcmap.place.naver.com/place/1710328020/home,merge_v2 dense_core; strict_core
역삼/선릉,라미야수서점,010-2753-0134,"서울 강남구 밤고개로1길 10, 202호(수서동, 수서현대벤쳐빌)",http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09
신논현/논현,하카 강남 언주역직영점,0507-1303-2161,서울 강남구 봉은사로 232 1층,https://pcmap.place.naver.com/place/1058826065/home,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배
역삼/선릉,핫딜베이프 강남,0507-1351-0818,서울 강남구 봉은사로 326 1F 103호,https://pcmap.place.naver.com/place/1888341781/home,merge_v2 dense_core; strict_core
역삼/선릉,강남핫딜,010-2648-2864,서울 강남구 봉은사로 326 남전빌딩 1층 103호,https://m.martha-vape.com/bs21/layout/map_store2.html,마샤 베이프 공식 로케이터의 서울 강남 SMS 가능 번호 반영
강남/압구정,빈토베이프 서울강남선정릉점,0507-1429-9602,서울 강남구 봉은사로 420 1층,https://pcmap.place.naver.com/place/1330010630/home,역명 키워드 확장 재시도 배치 batch2 신규 후보
삼성/코엑스,룩전자담배점,010-8078-9600,서울 강남구 봉은사로 420 학산빌딩 102호,https://map.naver.com/p/search/룩 전자담배 삼성,애매번호 재검증 복구 2026-04-10. 네이버 지도와 Litmus가 모두 봉은사로 420 학산빌딩 계열 전자담배 매장으로 수렴해 복구 가능
역삼/선릉,베이퓨 선정릉점,0507-1384-5932,서울 강남구 봉은사로 452 1층,,"merge_v2 dense_core; strict_core, place_id not captured in quick pass"
역삼/선릉,하카 강남 삼성중앙직영점,0507-1473-2161,서울 강남구 봉은사로 506 1층 101호,https://pcmap.place.naver.com/place/1265007979/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=삼전 전자담배
역삼/선릉,제로전자담배 역삼점,0507-1353-7061,서울 강남구 봉은사로30길 74 1층,https://pcmap.place.naver.com/place/1281534597/home,네이버 검색 롱테일 확장 2026-04-10 · query=언주역 전자담배
,홀릭전자담배 논현점,010-9879-0008,서울 강남구 봉은사로7길 40,http://place.map.kakao.com/26338193,query: 서울 강남구 전자담배
신논현/논현,홀릭전자담배 논현초점,0507-1425-0233,서울 강남구 봉은사로7길 40 1층 전자담배,https://pcmap.place.naver.com/place/523009891/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=신논현 전자담배
삼성/코엑스,킹콩전자담배 삼성점,010-3462-9876,서울 강남구 봉은사로82길 25,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공개 웹 검색 기반 초안
삼성/코엑스,위베이프 도깨비전자 삼성점,0507-1376-9876,서울 강남구 봉은사로82길 25 1층 103호 위베이프 삼성 전자담배,https://pcmap.place.naver.com/place/1941000454/home,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배
삼성/코엑스,구름쥬스 삼성동점,010-9177-7708,서울 강남구 삼성동 153-36 여송빌딩 1층,https://gureumjuice.com/,공개 웹 검색상 확인된 010 번호 반영
삼성/코엑스,하카 강남 삼성역직영점,0507-1401-2161,서울 강남구 삼성로 420 1층,https://pcmap.place.naver.com/place/1666893708/home,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배
전자담배멀티샵 서울 강남구,전자담배 멀티샵 헬로 삼성점,0507-1400-9524,서울 강남구 삼성로 517 B109호,,naver_townconnect_embedded
삼성/코엑스,삼성전자담배 삼성동점,010-3239-0208,서울 강남구 삼성로 517 채널리저브 지하109호,,공개 웹 검색 기반 초안
삼성/코엑스,듀바코 삼성점,010-3237-4520,서울 강남구 삼성로103길 12 신도브래뉴주상복합 지하1층 B105-1호,https://map.naver.com/p/search/듀바코 삼성점,애매번호 재검증 복구 2026-04-10. 듀바코 삼성점/라미야삼성점이 같은 신도브래뉴주상복합 B105-1호와 동일 번호로 수렴해 단일 매장으로 판단
삼성/코엑스,위베이프 대치 직영점,0507-1365-8225,서울 강남구 삼성로85길 33 1층 102-3호,,네이버 플레이스 검증 2026-04-12 · query=삼성역 전자담배
역삼/선릉,마샤 베이프 선릉점,010-8797-1511,서울 강남구 선릉로 420 1층,https://m.martha-vape.com/bs21/layout/map_store2.html,공개 웹 검색 기반 초안
역삼/선릉,베이프온전자담배 24시 선릉,0507-1402-5085,서울 강남구 선릉로 431 SK허브오피스텔 지하1층 B104호,https://pcmap.place.naver.com/place/34779136/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=선릉 전자담배
역삼/선릉,vaping lounge,010-4806-6928,서울 강남구 선릉로155길 28 1층,,공개 웹 검색 기반 초안
압구정/청담,전담 GATE 압구정로데오점,0507-1323-8636,서울 강남구 선릉로157길 27 102호,https://pcmap.place.naver.com/place/1428380179/home,네이버 검색 롱테일 round2 2026-04-10 · query=압구정역 전자담배
역삼/선릉,헬로전자담배,0507-1495-1468,서울 강남구 선릉로86길 18 1층,https://pcmap.place.naver.com/place/1310578927/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=선릉 전자담배
역삼/선릉,홀릭전자담배 선릉점,010-3337-9457,서울 강남구 선릉로86길 31 롯데골드로즈2차 1층,,공개 웹 검색 기반 초안
역삼/선릉,크림 전자담배,0507-1400-1226,서울 강남구 선릉로86길 44 1층 크림 전자담배,https://pcmap.place.naver.com/place/1568882848/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=선릉 전자담배
,크림전자담배,010-2579-1213,서울 강남구 선릉로86길 44 1층 크림전자담배,,review_promoted(be-well): pool에 크림전자담배 0507-1400-1226(같은주소) 있으나 last4 상이(1213≠1226). 다른 전화번호. 2026-04-14 bewell_followup 확정.
역삼/선릉,킹콩전자담배,010-7131-2019,서울 강남구 선릉로93길 28 1층 킹콩전자담배,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
압구정/청담,베이핑라운지 압구정,010-6625-1511,서울 강남구 압구정로,https://lounge1511.cafe24.com/,공개 웹 검색 기반 초안
압구정/청담,하카 강남 압구정역직영점,0507-1301-2161,"서울 강남구 압구정로 164 106, 107호",https://pcmap.place.naver.com/place/1249511161/home,네이버 검색 롱테일 round2 2026-04-10 · query=압구정역 전자담배
,베이프스트릿 신사점,010-2133-5722,서울 강남구 압구정로20길 15,,
압구정/청담,베이프스트릿,010-2048-1550,서울 강남구 압구정로20길 15 (신사동) 1층 103-2호,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09
압구정/청담,베이프 도산,0507-1383-6452,서울 강남구 압구정로42길 41,https://pcmap.place.naver.com/place/2036329740/home,merge_v2 dense_core; strict_core
압구정/청담,킹콩전자담배 압구정점,010-5655-5934,서울 강남구 압구정로50길 27 1층 103호,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공개 웹 검색 기반 초안
강남/압구정,킹콩전자담배 압구정점,0507-1489-9005,서울 강남구 압구정로50길 27 1층 103호 킹콩전자담배 압구정점,https://pcmap.place.naver.com/place/35278928/home,역명 키워드 확장 재시도 배치 batch2 신규 후보
천호/강동,일원전자담배,010-6877-9100,"서울 강남구 양재대로31길 5, 1층 (일원동)",http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09
역삼/선릉,강남 스타베이프,010-4052-2004,서울 강남구 언주로 201 에스케이리더스뷰,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
역삼/선릉,더킹베이프스토어,0507-1311-9896,서울 강남구 언주로 409 1층 더킹베이프스토어,https://pcmap.place.naver.com/place/1524926243/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=선릉 전자담배
역삼/선릉,더킹전자담배,010-3880-9896,서울 강남구 언주로 409 1층 더킹전자담배,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
역삼/선릉,베이프클럽 강남역삼점,0507-1363-3253,서울 강남구 언주로 427 1층 107호,https://pcmap.place.naver.com/place/1001919986/home,merge_v2 dense_core; strict_core
신논현/논현,야옹이 전자담배 논현점,010-6259-5397,서울 강남구 언주로 604 지1층 111호,,공개 웹 검색 기반 초안
역삼/선릉,베리베리,0507-1424-0754,서울 강남구 언주로108길 24 1층,,"merge_v2 dense_core; strict_core, place_id not captured in quick pass"
역삼/선릉,강남핫딜전자담배,010-6237-4242,서울 강남구 역삼동,,공개 웹 검색 기반 초안
역삼/선릉,베리베리 역삼,010-8931-0753,서울 강남구 역삼동,,공개 웹 검색 기반 초안
역삼/선릉,비원베이프,010-8222-8333,서울 강남구 역삼동,,공개 웹 검색 기반 초안
역삼/선릉,역삼전자담배,010-6659-9800,서울 강남구 역삼동,,공개 웹 검색 기반 초안
역삼/선릉,원더베이프 강남 서브,010-6809-5115,서울 강남구 역삼동,,원더베이프 강남 번호 다름. 별도 매장 가능성
역삼/선릉,역삼전자담배멀티샵,010-6268-6451,서울 강남구 역삼로 139,,기존 02 번호 대신 공개 검색상 확인된 010 번호로 교체
전자담배멀티샵 서울 강남구,전자담배 멀티샵 강남프라자,0507-1439-7227,서울 강남구 역삼로 454 (대치동) 1층,,naver_townconnect_embedded
,너구리전자담배 개포점,010-2622-4920,서울 강남구 영동대로 22,http://place.map.kakao.com/1397815750,q:잠실 전자담배
삼성/코엑스,위베이프 삼성역,0507-1408-8447,서울 강남구 영동대로85길 20 대치3차 아이파크오피스텔 301호,https://pcmap.place.naver.com/place/35700330/home,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배
삼성/코엑스,삼성역전자담배,010-2816-5801,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 1동 301호,https://m.martha-vape.com/bs21/layout/map_store2.html,기존 02 대신 공개 웹 검색상 확인된 010 번호 반영; 동일 연락처 중복 병합: 마샤 베이프 대치동점 | 서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 301호
압구정/청담,시가댕,010-2395-3314,서울 강남구 청담동 40-20 수정하이츠 202,https://m.cicadeng.com/shopinfo/company.html,"전자담배 액상/시가 계열, 적합성 별도 판단"
강남역,위베이프전자담배 강남역점,0507-1497-0005,서울 강남구 테헤란로 101,,"merge_v2 dense_core; strict_core, place_id not captured in quick pass"
전자담배멀티샵 서울 강남구,전자담배 멀티샵 시가모아 선릉점,0507-1401-6685,서울 강남구 테헤란로 306 (역삼동),,naver_townconnect_embedded
역삼/선릉,시가모아전자담배 강남선릉점,010-5719-6685,서울 강남구 테헤란로 306 카이트타워,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/542/,공개 웹 검색 기반 초안. 주소 보강
역삼/선릉,도파민라운지,0507-1408-7043,서울 강남구 테헤란로 322 제지하1층 125호,https://pcmap.place.naver.com/place/2044636934/home,merge_v2 dense_core; strict_core
역삼/선릉,킹콩전자담배 선릉역점,0507-1417-7745,서울 강남구 테헤란로 406 상제리제센터 지하1층 104호,https://pcmap.place.naver.com/place/37183226/home,merge_v2 dense_core; strict_core
강남구,모노퍼시픽,0507-1333-1650,서울 강남구 테헤란로 423 2층 2351호,,서울 베이핑 샵 쿼리
강남역,전담GATE 강남역지하상가점,0507-1424-2846,서울 강남구 테헤란로1길 20,,merge_v2 review_rescue; 4/12 hidden-branch output existed but 4/13 final not merged
강남역,원더베이프 강남,010-9121-1852,서울 강남구 테헤란로4길 46 114호,,공개 웹 검색 기반 초안. 전화 확인 필요
,로움베이프,010-5933-1909,서울 강남구 테헤란로52길 16,,
역삼/선릉,하카 강남 선릉직영점,0507-1302-2161,서울 강남구 테헤란로52길 16,https://pcmap.place.naver.com/place/1189185234/home,네이버 검색 핫스팟 인접 확장 2026-04-10 · query=선릉 전자담배
역삼/선릉,로움베이프,0507-1488-1909,서울 강남구 테헤란로52길 16 로움베이프,https://pcmap.place.naver.com/place/1116831111/home,merge_v2 dense_core; strict_core
역삼/선릉,액상82,010-2938-0625,서울 강남구 테헤란로70길 12 H타워 402-613A호,https://xn--82-vs4jx6m.com/shopinfo/company.html,공개 웹 검색 기반 초안
역삼/선릉,구름쥬스 전자담배 삼성역점,0507-1408-1131,서울 강남구 테헤란로87길 51 1층 구름쥬스전자담배,https://pcmap.place.naver.com/place/1668347708/home,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배
,하카전자담배 강남구청점,010-9886-5099,서울 강남구 학동로 342,http://place.map.kakao.com/27440583,p5/26
,하카전자담배 강남구청점,010-8383-8769,서울 강남구 학동로 342 (에스케이 허브블루) 비118동 지하1층 하카전자담배,,be-well.co.kr 비웰 스토어로케이터 KBoard ID:282. 2026-04-14 bewell_extended 신규. brand:데이드림.
신논현/논현,킹콩전자담배 논현동점,0507-1434-6002,서울 강남구 학동로2길 6 1층,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공개 웹 검색 기반 초안. 스마트콜 우선 기록
신논현/논현,킹콩전자담배강남점,010-3208-5522,서울 강남구 학동로2길 6 1층 킹콩전자담배,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
,폭스베이프,010-5689-4979,서울 강남구 학동로6길 49,,
신논현/논현,하카 강남 논현동직영점,0507-1444-2161,서울 강남구 학동로6길 8 1층,https://pcmap.place.naver.com/place/1651759515/home,네이버 검색 롱테일 round2 2026-04-10 · query=학동역 전자담배
,파스타바코 강동점,010-9988-8175,서울 강동구 강동대로245 (성내동) 1층 6호 파스타바코 전자담배,,be-well.co.kr 비웰 스토어로케이터 KBoard ID:233. 2026-04-14 bewell_extended 신규. brand:데이드림.
천호/강동,보광공조,010-6801-0824,서울 강동구 고덕로 101 대암빌딩 1층 전자담배,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
강동구,시가케이,0507-1378-0717,서울 강동구 고덕로 385 그라시움4상가 213호,,session2 naver discovery
천호/강동,베이프판다,0507-1492-1495,서울 강동구 고덕비즈밸리로 26 B동 1층 109호,https://pcmap.place.naver.com/place/1536838485/home,네이버 검색 롱테일 3차 확장 2026-04-10 · query=고덕역 전자담배
,베이프판다,010-9213-6804,서울 강동구 고덕비즈밸리로 26(고덕동) 1층 B동 109호 베이프판다 전자담배,,be-well.co.kr 비웰 스토어로케이터 KBoard ID:251. 2026-04-14 bewell_extended 신규. brand:데이드림.
천호/강동,하카전자담배 강동천호점,010-5364-1342,서울 강동구 구천면로 281,https://m.xn--9i1bl26anubgtr9x44g.com/article/%EC%A0%84%EA%B5%AD%EB%A7%A4%EC%9E%A5%EC%95%88%EB%82%B4/5/340/,공개 웹 검색 기반 초안
,JMI전자담배 명일점,010-2323-8780,서울 강동구 구천면로 384,http://place.map.kakao.com/1795273107,p3/4
천호/강동,JMI전자담배 명일점,0507-1497-8783,서울 강동구 구천면로 384 2층 201호 전자담배,https://pcmap.place.naver.com/place/1117596164/home,네이버 검색 롱테일 3차 확장 2026-04-10 · query=고덕역 전자담배
천호/강동,굽은다리전자담배 JMI,010-9915-9823,서울 강동구 길동,,공개 웹 검색 기반 초안
천호/강동,미키젠 길동,010-9377-9077,서울 강동구 길동,,공개 웹 검색 기반 초안
천호/강동,쿨베이핑전자담배길동점,010-4833-0852,서울 강동구 길동,,공개 웹 검색 기반 초안
천호/강동,라미야강동점 성내,010-4175-0852,서울 강동구 성내동,https://m.martha-vape.com/bs21/layout/map_store2.html,공개 웹 검색 기반 초안. 기존 라미야강동점과 별도 번호
천호/강동,모던베이프 암사점,010-7466-8264,서울 강동구 암사동,https://modernvapeamsa.blogspot.com/,공개 웹 검색 기반 초안
천호/강동,둔촌전자담배멀티샾,010-3758-1514,서울 강동구 양재대로 1396 원천빌딩101,https://m.martha-vape.com/bs21/layout/map_store2.html,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09
천호/강동,둔촌베이퍼즈강동점,010-9024-5041,"서울 강동구 양재대로 1396,1층1-1호(둔촌동)",http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09
